ID,TRACTCE10,GEOID10,NAME10,NAMELSAD10,Long,Lat,State,County,Smoking,Binge Drinking,Physical Inactivity,Sleep<7hours,Opioid Overdose,High Cholesterol,Obesity,High Blood Pressure,Depression,Kidney Diseases,Land Surface Temperature,Air Temperature,Solar_DNI,Wind Speed,Precipitation,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Aerosol ,Nitrogen Dioxide ,Carbon Monoxide ,Sulfur Dioxide ,Formaldehyde ,Ozone ,Diabetes
494,500100,17031500100,5001,Census Tract 5001,-87.595024,41.714684,ILLINOIS,Cook,13.9,10.3,9.8,41.1,19.20965971,30.4,37.6,43.6,12.6,3.8,23.6,10.7829,1523.819946,4.15,80.2117,0.478611,0.648457,0.190762,0.828684,-0.489268,0.000164851,0.0343334,0.000266647,0.000102524,0.144566,15.1
387,320100,17031320100,3201,Census Tract 3201,-87.620932,41.885046,ILLINOIS,Cook,6.4,16.2,4.6,27.7,29.49852507,24.4,20.5,20.5,13.1,1.7,18.316,10.63665,1455.02002,4.21667,79.0092,0.225152,0.466816,0.385083,0.109314,-0.459662,0.000174352,0.0343298,0.000345328,0.000103442,0.144881,5.2
39,30703,17031030700,307.03,Census Tract 307.03,-87.657871,41.978875,ILLINOIS,Cook,14.2,13.3,9.7,32.9,31.80212014,30.9,29.6,33.7,14.8,3.4,18.954,10.447085,1494.23999,4.23333,79.2958,0.834162,0.774054,0.498546,0.565531,-0.494925,0.00015705,0.0343286,0.000278423,0.000103804,0.145068,11.2
45,31200,17031031200,312,Census Tract 312,-87.657341,41.972709,ILLINOIS,Cook,19.7,12.5,11.5,37.2,40.7223796,30.9,32.4,35.7,14.5,3.4,18.868,10.447085,1497.040039,4.23333,79.2958,0.821103,0.853163,0.967145,0.401862,-0.494925,0.00015705,0.0343286,0.000278423,0.000103804,0.145068,13.3
442,430101,17031430100,4301.01,Census Tract 4301.01,-87.573953,41.769826,ILLINOIS,Cook,18.6,11.2,11.1,44.4,40.66142586,26.5,41.4,40.1,14.7,3.5,18.894,10.682915,1510.859985,4.16667,81.7392,0.915315,0.505437,0.733448,0.464853,-0.50117,0.000160954,0.0343241,0.000331931,0.000100796,0.144645,14
448,430600,17031430600,4306,Census Tract 4306,-87.571375,41.764385,ILLINOIS,Cook,16.9,10.2,11.7,42.9,24.02402402,30.5,40.8,44.9,13.7,4.1,18.894,10.682915,1509.579956,4.15833,81.7392,0.495852,0.592949,0.802841,0.762178,-0.50117,0.000160954,0.0343241,0.000331931,0.000100796,0.144645,16.5
450,430800,17031430800,4308,Census Tract 4308,-87.571298,41.76075,ILLINOIS,Cook,14.4,10.4,9.9,41.1,28.36074872,29.9,38.2,43.4,12.3,3.7,22.018,10.6929,1510.430054,4.15833,81.5167,0.639214,0.492366,0.613256,0.712766,-0.50117,0.000160954,0.0343241,0.000331931,0.000100796,0.144645,14.9
34,30601,17031030600,306.01,Census Tract 306.01,-87.654936,41.988886,ILLINOIS,Cook,17.3,13.1,10.9,35.1,17.44765703,30.8,31.4,34.5,15.3,3.4,17.958,10.393315,1487.939941,4.23333,79.1967,0.725464,0.847054,0.813821,0.455558,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,12
35,30603,17031030600,306.03,Census Tract 306.03,-87.658398,41.985476,ILLINOIS,Cook,13.9,16.8,7,35.1,52.50596659,22.3,30,23.8,14.6,1.8,18.954,10.432085,1492.410034,4.23333,79.2483,0.72833,0.755382,0.275358,0.138736,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,7
36,30604,17031030600,306.04,Census Tract 306.04,-87.652732,41.985919,ILLINOIS,Cook,11.3,13.7,7.6,32.5,16.80107527,28.6,26.8,29.2,13.4,2.6,18.102,10.307935,1488.849976,4.23333,79.12,0.659779,0.67744,0.474843,0.372604,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,9.2
37,30701,17031030700,307.01,Census Tract 307.01,-87.657966,41.982745,ILLINOIS,Cook,15.4,16.3,8,35.1,19.36733376,24.9,30.2,26.4,15.4,2.2,18.954,10.432085,1492.410034,4.23333,79.2483,0.91141,0.839338,0.575084,0.216473,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,8.2
38,30702,17031030700,307.02,Census Tract 307.02,-87.654822,41.980689,ILLINOIS,Cook,9.2,13.7,6.6,30.1,18.40490798,30.2,23.9,28.2,12.6,2.4,18.102,10.432085,1489.319946,4.23333,79.2483,0.499273,0.733085,0.219838,0.537124,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,8.5
40,30706,17031030700,307.06,Census Tract 307.06,-87.651605,41.980235,ILLINOIS,Cook,9.6,12.6,7.6,29.5,22.22839678,32.1,24.1,32.3,12.6,3,18.102,10.307935,1489.319946,4.23333,79.12,0.894764,0.76388,0.304378,0.70181,-0.50441,0.000156424,0.0343099,0.000278824,0.000104036,0.145099,9.3
137,81402,17031081400,814.02,Census Tract 814.02,-87.608921,41.892975,ILLINOIS,Cook,7.1,15.7,5,28.1,25.92505303,25.4,21.2,21.4,13.6,1.8,16.312,10.60415,1471.459961,4.20833,78.8592,0.148389,0.599882,0.115249,0.133958,-0.504606,0.0001671,0.0343088,0.000352215,0.000110946,0.144856,5.5
138,81403,17031081400,814.03,Census Tract 814.03,-87.609968,41.891908,ILLINOIS,Cook,7.1,15.7,5,28.1,18.85458402,25.4,21.2,21.4,13.6,1.8,16.312,10.60415,1471.459961,4.20833,78.8592,0.095237,0.248902,0.121743,0.051321,-0.504606,0.0001671,0.0343088,0.000352215,0.000110946,0.144856,5.5
478,480300,17031480300,4803,Census Tract 4803,-87.587973,41.729194,ILLINOIS,Cook,13.9,9.4,10.8,40.9,13.6239782,31.6,38.9,46.4,12.6,4.4,23.204,10.78375,1525.130005,4.15,80.7558,0.932225,0.695714,0.569892,0.87454,-0.486489,0.000166241,0.0343015,0.000256429,0.000102113,0.144572,16.9
388,320400,17031320400,3204,Census Tract 3204,-87.617367,41.877721,ILLINOIS,Cook,7,20.7,3.8,28.4,43.68546465,12.2,17.6,10.4,17.5,0.9,18.152,10.656265,1472.099976,4.21667,79.1542,0.617444,0.548877,0.362376,0.032868,-0.447643,0.000175641,0.034298,0.000373002,0.000106409,0.144827,2.1
389,320600,17031320600,3206,Census Tract 3206,-87.616882,41.871137,ILLINOIS,Cook,7.3,17.3,4.5,29.3,30.54511278,20.2,21,18,14.3,1.4,18.152,10.656265,1478.439941,4.20833,79.1542,0.335955,0.291751,0.286905,0.04495,-0.447643,0.000175641,0.034298,0.000373002,0.000106409,0.144827,4.6
479,480400,17031480400,4804,Census Tract 4804,-87.575639,41.72845,ILLINOIS,Cook,13.8,9.3,10.7,40.4,18.72021784,33.5,38.4,48.3,12,4.4,23.398,10.811685,1516,4.15,80.1958,0.619798,0.743314,0.413895,0.935636,-0.495496,0.000165594,0.0342959,0.000265622,0.000105621,0.144566,17.6
133,81201,17031081200,812.01,Census Tract 812.01,-87.626212,41.899154,ILLINOIS,Cook,6.1,15.6,5.1,25.9,17.245627,26.6,20.2,22.8,14.6,2,19.136,10.594185,1470.680054,4.21667,78.8883,0.123752,0.586276,0.303478,0.230477,-0.460485,0.000171523,0.0342949,0.00034806,0.000100284,0.144829,5.7
135,81300,17031081300,813,Census Tract 813,-87.620753,41.898335,ILLINOIS,Cook,6.8,12.3,6.7,26.2,4.095004095,33.7,22.4,31,13.2,2.8,19.136,10.515435,1464.410034,4.225,78.8417,0.387874,0.366508,0.152286,0.539102,-0.460485,0.000171523,0.0342949,0.00034806,0.000100284,0.144829,8.4
139,81500,17031081500,815,Census Tract 815,-87.62623,41.892559,ILLINOIS,Cook,6.9,17.5,4.4,27.7,20.55263759,23.3,20.8,18.9,13.9,1.5,19.258,10.614565,1474.329956,4.21667,78.935,0.088964,0.574016,0.186498,0.084546,-0.460485,0.000171523,0.0342949,0.00034806,0.000100284,0.144829,4.6
140,81600,17031081600,816,Census Tract 816,-87.628874,41.892106,ILLINOIS,Cook,6.7,19.4,4,27.7,22.56699577,20.7,20.4,16.5,14.2,1.3,19.258,10.614565,1478.709961,4.21667,78.935,0.124735,0.394105,0.209814,0.048973,-0.460485,0.000171523,0.0342949,0.00034806,0.000100284,0.144829,3.8
801,843900,17031843900,8439,Census Tract 8439,-87.576017,41.776599,ILLINOIS,Cook,18.1,9.9,12.2,42.4,28.30455703,30.6,40.9,45.2,14,4.3,19.548,10.650815,1507.329956,4.16667,81.8917,0.854284,0.783555,0.871251,0.724038,-0.508033,0.000161445,0.0342915,0.000369199,0.000104062,0.144664,16.8
452,431200,17031431200,4312,Census Tract 4312,-87.571184,41.755301,ILLINOIS,Cook,13.5,10.5,9.5,40.5,22.74204029,29.9,37.1,42.3,12.5,3.6,22.018,10.6929,1512.089966,4.15,81.5167,0.702779,0.746389,0.338092,0.786026,-0.499022,0.000162226,0.0342838,0.000301197,0.000104473,0.144583,14.4
757,839000,17031839000,8390,Census Tract 8390,-87.631405,41.871044,ILLINOIS,Cook,8.8,17.9,5,29.9,17.78142525,20.9,22.3,18.8,15,1.5,20.824,10.659185,1491.22998,4.21667,79.1433,0.289008,0.545403,0.498159,0.047463,-0.422652,0.000179473,0.0342716,0.000329981,0.000105633,0.144801,4.9
758,839100,17031839100,8391,Census Tract 8391,-87.632746,41.881027,ILLINOIS,Cook,8.6,19.3,4.3,29.9,186.2068966,17.4,21.1,15.4,14.3,1.1,20.824,10.6354,1445.790039,4.23333,79.005,0.519077,0.613447,0.3769,0.034214,-0.422652,0.000179473,0.0342716,0.000329981,0.000105633,0.144801,3.7
480,480500,17031480500,4805,Census Tract 4805,-87.55905,41.72755,ILLINOIS,Cook,19.6,10,13.3,42.5,6.238303182,32,41.5,45.9,14,4.5,23.072,10.747935,1499.430054,4.15,79.9608,0.750364,0.861895,0.550522,0.75935,-0.498817,0.000163032,0.034271,0.000250903,0.000106226,0.144599,18.3
443,430102,17031430100,4301.02,Census Tract 4301.02,-87.561634,41.769382,ILLINOIS,Cook,17.1,10.1,11.7,42.5,50.6243672,29.9,40.8,44.5,13.7,4.2,18.382,10.630015,1500.060059,4.15833,81.395,0.752261,0.661871,0.698585,0.693503,-0.517591,0.000158752,0.0342631,0.000332198,0.000103335,0.144663,16.4
449,430700,17031430700,4307,Census Tract 4307,-87.559232,41.765143,ILLINOIS,Cook,19.5,9.8,13.3,42.9,31.67420814,30.7,41.4,46.3,14.2,4.8,18.382,10.630015,1498.400024,4.15833,81.395,0.960365,0.673472,0.788456,0.633107,-0.517591,0.000158752,0.0342631,0.000332198,0.000103335,0.144663,17.8
397,351000,17031351000,3510,Census Tract 3510,-87.605974,41.834784,ILLINOIS,Cook,11.1,10.3,8.2,37.6,9.182736455,26.4,31.8,35.5,11.9,3.2,18.158,10.681235,1494.680054,4.175,80.6825,0.852775,0.483703,0.149849,0.468807,-0.474283,0.000169873,0.0342614,0.00036649,0.000111145,0.144765,12
760,839500,17031839500,8395,Census Tract 8395,-87.61929,41.834097,ILLINOIS,Cook,13.6,9,11.9,37.2,71.197411,34.2,35.4,47.8,12.8,5.2,22.01,10.69915,1503,4.19167,80.6917,0.853425,0.434016,0.754562,0.897496,-0.474283,0.000169873,0.0342614,0.00036649,0.000111145,0.144765,19
30,30200,17031030200,302,Census Tract 302,-87.66523,41.994441,ILLINOIS,Cook,10.9,17.1,6.3,30.7,11.17526541,25.8,25.4,22.8,15.1,1.8,19.35,10.391665,1494.969971,4.23333,79.3275,0.503815,0.427042,0.401753,0.225438,-0.497746,0.000156935,0.0342613,0.000275798,9.77E-05,0.145212,6.3
568,630200,17031630200,6302,Census Tract 6302,-87.694045,41.802745,ILLINOIS,Cook,15.1,15.9,9.5,34.4,0,24.8,33,23,14.5,2.3,24.202,10.747065,1540.939941,4.175,82.2908,0.917794,0.96915,0.543848,0.204404,-0.380099,0.000175832,0.0342588,0.000262565,0.000108788,0.144704,9.5
790,842800,17031842800,8428,Census Tract 8428,-87.698304,41.807534,ILLINOIS,Cook,20.8,13.8,13.8,36.6,5.334755935,27,38.2,28.2,16.3,3.3,24.202,10.76335,1541.97998,4.175,82.46,0.96049,0.987108,0.551782,0.219713,-0.380099,0.000175832,0.0342588,0.000262565,0.000108788,0.144704,13.1
774,841100,17031841100,8411,Census Tract 8411,-87.635098,41.851006,ILLINOIS,Cook,18.1,6.5,10.6,36.7,6.892748828,35.4,18.3,36.1,9.8,3.3,22.078,10.722085,1506.329956,4.19167,79.9033,0.899334,0.988865,0.505275,0.595035,-0.403146,0.000181379,0.0342575,0.000353883,0.000115759,0.144767,16.8
126,80100,17031080100,801,Census Tract 801,-87.62679,41.907554,ILLINOIS,Cook,6.8,14.1,5.9,25.9,6.652253451,31.4,22,27.7,14.1,2.4,19.658,10.570815,1476.97998,4.225,78.8842,0.455317,0.117565,0.220101,0.388846,-0.474911,0.000168654,0.034255,0.000345673,9.79E-05,0.144855,7.1
132,81100,17031081100,811,Census Tract 811,-87.629109,41.900207,ILLINOIS,Cook,8.2,17.3,5.2,29.1,46.7032967,22.9,23.2,20.7,15.2,1.7,19.136,10.594185,1481.449951,4.225,78.8883,0.289244,0.545541,0.539044,0.069238,-0.474911,0.000168654,0.034255,0.000345673,9.79E-05,0.144855,5.4
134,81202,17031081200,812.02,Census Tract 812.02,-87.621811,41.906138,ILLINOIS,Cook,6.4,12.7,6.3,25.3,10.01669449,34.3,22.1,30.8,13.5,2.7,19.136,10.570815,1466.969971,4.22,78.8842,0.058511,0.390809,0.238737,0.541779,-0.474911,0.000168654,0.034255,0.000345673,9.79E-05,0.144855,8
470,460400,17031460400,4604,Census Tract 4604,-87.563692,41.744491,ILLINOIS,Cook,17.5,10.2,11.4,43,43.18488529,30.1,40.4,44.5,13.6,4,22.86,10.72415,1504.550049,4.15,80.8183,0.647482,0.502018,0.632362,0.752664,-0.498823,0.000161647,0.0342547,0.000268873,0.000105219,0.144602,16.2
33,30500,17031030500,305,Census Tract 305,-87.664936,41.987226,ILLINOIS,Cook,10.8,18,5.8,30.6,12.50977326,23.7,25,20.6,14.6,1.7,18.954,10.42375,1495.880005,4.23333,79.3792,0.409713,0.762508,0.374159,0.168557,-0.485381,0.000157719,0.0342509,0.000250678,0.000103294,0.145112,5.9
454,431302,17031431300,4313.02,Census Tract 4313.02,-87.562786,41.758385,ILLINOIS,Cook,23.5,10.4,13.9,46.4,60.00960154,27.9,45,43.9,16,4.2,20.954,10.682915,1503.569946,4.15833,81.3933,0.884834,0.516874,0.956235,0.438574,-0.503835,0.000160942,0.034249,0.000272617,0.000102926,0.144632,16.8
141,81700,17031081700,817,Census Tract 817,-87.631868,41.892067,ILLINOIS,Cook,6.2,19,3.9,28.2,45.13217279,19.6,21.1,16.1,13.8,1.2,20.992,10.62165,1481.22998,4.21667,78.945,0.195959,0.621986,0.226442,0.039939,-0.439713,0.000174384,0.0342459,0.000302945,0.000100027,0.144805,3.8
142,81800,17031081800,818,Census Tract 818,-87.637796,41.893256,ILLINOIS,Cook,6.8,20.8,3.6,27.9,10.19516458,18.6,20.5,13.9,14.8,1,20.992,10.627515,1491.069946,4.21667,79.0117,0.027199,0.158026,0.202656,0.039005,-0.439713,0.000174384,0.0342459,0.000302945,0.000100027,0.144805,2.9
47,31400,17031031400,314,Census Tract 314,-87.640521,41.96257,ILLINOIS,Cook,8.1,15.7,6,28.2,17.47572816,27.8,23.5,25.5,14.2,2.2,17.924,10.397915,1492.699951,4.225,79.0758,0.268415,0.262343,0.50288,0.390233,-0.504817,0.000158387,0.0342441,0.000252761,0.000108989,0.145015,6.9
82,60800,17031060800,608,Census Tract 608,-87.643763,41.953848,ILLINOIS,Cook,6.9,18.6,4.3,27.8,10.33698574,22.3,21.2,18.5,14.3,1.5,17.924,10.473315,1492.5,4.23333,79.1242,0.172375,0.411747,0.143577,0.087965,-0.504817,0.000158387,0.0342441,0.000252761,0.000108989,0.145015,4.6
83,60900,17031060900,609,Census Tract 609,-87.640471,41.95069,ILLINOIS,Cook,8.4,18.2,5.1,28.8,11.64991991,23.4,22.9,20.2,14.8,1.7,19.486,10.473315,1492.689941,4.21667,79.1242,0.272528,0.647564,0.170008,0.10963,-0.504817,0.000158387,0.0342441,0.000252761,0.000108989,0.145015,5.1
395,350100,17031350100,3501,Census Tract 3501,-87.60842,41.841749,ILLINOIS,Cook,8.3,11.2,6,35,0,23,26.3,27.7,10.9,2.3,18.158,10.643315,1491.680054,4.19167,80.3542,0.557714,0.699379,0.389583,0.170891,-0.477863,0.000170022,0.0342411,0.000397256,0.000114595,0.144779,8.6
497,510100,17031510100,5101,Census Tract 5101,-87.549863,41.713118,ILLINOIS,Cook,16.5,13,12.7,34.4,28.3286119,30.6,35,31.3,15.2,3.7,21.254,10.7629,1494.030029,4.15,79.4158,0.931615,0.929705,0.530142,0.571338,-0.506358,0.000162116,0.034241,0.000319962,0.000107661,0.144586,14.1
498,510200,17031510200,5102,Census Tract 5102,-87.560041,41.714253,ILLINOIS,Cook,19.7,10,14,41.7,16.74480911,32.1,41.8,45.4,14.5,4.8,21.518,10.774565,1502.73999,4.15,79.5717,0.852885,0.873854,0.260128,0.755368,-0.506358,0.000162116,0.034241,0.000319962,0.000107661,0.144586,18.6
350,280100,17031280100,2801,Census Tract 2801,-87.642804,41.885296,ILLINOIS,Cook,6.4,20.1,3.5,28.2,26.68308703,18.2,20.3,13.9,14.2,1,21.298,10.651235,1495.52002,4.21667,79.0617,0.073273,0.370229,0.109254,0.044319,-0.409078,0.000179825,0.0342379,0.000328569,0.000102603,0.144778,2.9
428,410800,17031410800,4108,Census Tract 4108,-87.589624,41.797959,ILLINOIS,Cook,9.4,14,6.6,32.6,7.513148009,25.2,26.6,27.9,13.4,2.4,19.026,10.6804,1502,4.175,81.8733,0.569056,0.720976,0.501246,0.223269,-0.510139,0.000161178,0.0342378,0.000360368,9.80E-05,0.144737,8.7
429,410900,17031410900,4109,Census Tract 4109,-87.576659,41.797874,ILLINOIS,Cook,8.4,13.5,6.5,31.3,21.14164905,28,27.1,29.9,13.2,2.5,17.402,10.585,1495.130005,4.16667,81.6325,0.584609,0.577887,0.372927,0.325691,-0.510139,0.000161178,0.0342378,0.000360368,9.80E-05,0.144737,8.8
430,411000,17031411000,4110,Census Tract 4110,-87.576873,41.790716,ILLINOIS,Cook,7.8,13.1,6.8,29.9,0,28,24.1,30.1,13.2,2.9,17.402,10.609165,1500.089966,4.16667,81.8017,0.638231,0.453416,0.468765,0.383835,-0.510139,0.000161178,0.0342378,0.000360368,9.80E-05,0.144737,8.9
431,411100,17031411100,4111,Census Tract 4111,-87.589702,41.790449,ILLINOIS,Cook,8.5,15.2,6.1,28.7,0,27,21.7,24.3,14.3,2.1,19.026,10.686265,1500.089966,4.175,82.0783,0.247642,0.463521,0.445075,0.151052,-0.510139,0.000161178,0.0342378,0.000360368,9.80E-05,0.144737,6.8
475,470100,17031470100,4701,Census Tract 4701,-87.59649,41.728221,ILLINOIS,Cook,19,9.8,12.5,43.3,17.14677641,31.2,40.7,46.7,13.7,4.4,23.384,10.770435,1526.599976,4.15,80.6175,0.827293,0.751249,0.664068,0.832789,-0.480514,0.000166459,0.0342349,0.000286286,9.86E-05,0.144568,17.5
483,490500,17031490500,4905,Census Tract 4905,-87.613207,41.717928,ILLINOIS,Cook,13.4,10.7,9.8,40.1,26.7618198,27.9,35.5,40.4,13.1,3.8,23.058,10.702085,1527.359985,4.15,80.9133,0.751998,0.66695,0.384266,0.671509,-0.482143,0.000164068,0.0342347,0.000268153,9.04E-05,0.144527,14.1
486,490800,17031490800,4908,Census Tract 4908,-87.615337,41.710683,ILLINOIS,Cook,17.2,9.6,12.4,42.8,27.45195907,31.8,41,47.6,13.5,4.6,22.828,10.691665,1527.949951,4.15,80.8675,0.812641,0.63989,0.552696,0.806414,-0.482143,0.000164068,0.0342347,0.000268153,9.04E-05,0.144527,18.1
362,291600,17031291600,2916,Census Tract 2916,-87.692216,41.857641,ILLINOIS,Cook,16.3,14.3,10.2,36.5,28.43601896,25.5,35.3,27.1,14.9,2.6,22.682,10.70415,1552.310059,4.19167,81.7575,0.61635,0.956505,0.221181,0.347466,-0.361316,0.000180081,0.0342341,0.000262288,9.48E-05,0.144773,11
770,840700,17031840700,8407,Census Tract 8407,-87.694266,41.85293,ILLINOIS,Cook,16.6,15.1,10.9,34.7,42.36290892,25.4,34.7,24.8,15.2,2.7,21.734,10.736665,1552.060059,4.19167,81.9292,0.966874,0.966129,0.916484,0.236435,-0.361316,0.000180081,0.0342341,0.000262288,9.48E-05,0.144773,11.1
41,30800,17031030800,308,Census Tract 308,-87.664188,41.979912,ILLINOIS,Cook,8.8,17.5,5.2,28.8,16.18122977,25.3,22.8,21.2,14,1.7,18.954,10.42375,1499.459961,4.23333,79.3792,0.396737,0.622577,0.420832,0.272201,-0.477517,0.000159157,0.0342318,0.000251444,0.000104925,0.145059,5.6
44,31100,17031031100,311,Census Tract 311,-87.663866,41.972668,ILLINOIS,Cook,10.6,17,5.8,30.5,4.543389368,23.3,23.7,20.8,14.7,1.7,19.508,10.448315,1502.459961,4.23333,79.4242,0.703098,0.739772,0.308628,0.142279,-0.477517,0.000159157,0.0342318,0.000251444,0.000104925,0.145059,5.9
418,390700,17031390700,3907,Census Tract 3907,-87.582542,41.806378,ILLINOIS,Cook,8.4,11.7,6.9,33.1,8.941344778,28,27.7,33.2,12.3,2.9,17.73,10.589565,1489.410034,4.16667,81.5375,0.514534,0.578972,0.233905,0.544923,-0.512203,0.000160676,0.0342299,0.00035889,0.000100078,0.144759,10.3
423,410100,17031410100,4101,Census Tract 4101,-87.579323,41.801497,ILLINOIS,Cook,9.8,14,6.7,34.3,0,25.6,29.2,29.9,12.9,2.4,17.73,10.64125,1493.25,4.16667,81.77,0.846529,0.823672,0.336956,0.299179,-0.512203,0.000160676,0.0342299,0.00035889,0.000100078,0.144759,9
444,430200,17031430200,4302,Census Tract 4302,-87.581348,41.769731,ILLINOIS,Cook,19.4,9.9,12.8,43.9,40.5982906,29.6,42.4,44.7,14.8,4.3,20.156,10.69915,1516.339966,4.16667,81.8292,0.994751,0.910731,0.602512,0.66798,-0.493811,0.000163595,0.0342288,0.000348838,0.000102269,0.144611,16.9
445,430300,17031430300,4303,Census Tract 4303,-87.589354,41.769691,ILLINOIS,Cook,25.9,9.8,15.9,47.1,51.36986301,27.5,47.4,45.4,16.6,4.8,20.662,10.714185,1521.02002,4.16667,81.8717,0.635018,0.737287,0.92277,0.386732,-0.493811,0.000163595,0.0342288,0.000348838,0.000102269,0.144611,18.3
446,430400,17031430400,4304,Census Tract 4304,-87.590321,41.762178,ILLINOIS,Cook,19.9,10.2,12.9,44.6,31.12033195,30.1,42.4,45.8,14.3,4.4,22.308,10.742065,1524.390015,4.15833,81.6392,0.642358,0.493122,0.981932,0.635867,-0.493811,0.000163595,0.0342288,0.000348838,0.000102269,0.144611,17.5
447,430500,17031430500,4305,Census Tract 4305,-87.581274,41.764284,ILLINOIS,Cook,26.7,9.5,16.9,47.4,41.62042175,30.5,47.4,48.7,16.5,5.2,20.156,10.69915,1518.420044,4.15833,81.8292,0.846709,0.823933,0.936103,0.558899,-0.493811,0.000163595,0.0342288,0.000348838,0.000102269,0.144611,20.4
451,430900,17031430900,4309,Census Tract 4309,-87.581185,41.760641,ILLINOIS,Cook,16.7,10.5,11.2,42.8,27.56339581,29.3,40.2,43.2,13.9,4,22.308,10.719585,1518.439941,4.15833,81.5842,0.688585,0.77205,0.703362,0.679211,-0.493811,0.000163595,0.0342288,0.000348838,0.000102269,0.144611,15.7
